"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-H_Gain","SSC-A_Gain","V1-A_Gain","V2-A_Gain","V3-A_Gain","V4-A_Gain","V5-A_Gain","V6-A_Gain","V7-A_Gain","V8-A_Gain","V9-A_Gain","V10-A_Gain","V11-A_Gain","V12-A_Gain","V13-A_Gain","V14-A_Gain","V15-A_Gain","V16-A_Gain","FSC-H_Gain","FSC-A_Gain","SSC-B-H_Gain","SSC-B-A_Gain","B1-A_Gain","B2-A_Gain","B3-A_Gain","B4-A_Gain","B5-A_Gain","B6-A_Gain","B7-A_Gain","B8-A_Gain","B9-A_Gain","B10-A_Gain","B11-A_Gain","B12-A_Gain","B13-A_Gain","B14-A_Gain","R1-A_Gain","R2-A_Gain","R3-A_Gain","R4-A_Gain","R5-A_Gain","R6-A_Gain","R7-A_Gain","R8-A_Gain","Violet_LaserDelay","Blue_LaserDelay","Red_LaserDelay","Violet_AreaScalingFactor","Blue_AreaScalingFactor","Red_AreaScalingFactor","SSC-H","SSC-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","FSC-H","FSC-A","SSC-B-H","SSC-B-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"13_After QC",2019-12-13 09:05:52.33,"2019-12-13","9H 5M 52.33S","After","Aurora","16888","Flow Core",260,260,1369,2307,1752,1051,1202,1054,1463,1267,1160,1139,1106,871,842,4088,1399,1061,175,175,1499,1499,9629,3040,2705,1628,1768,1482,2606,2207,2660,2842,1048,1454,1944,1052,1899,1385,1885,1796,1000,984,2351,1019,-25.25,0,26.375,0.91,1.02,1.22,1961186.5,1973008.4375,188775.3125,441709.25,525852.09375,541624.5,510896.015625,363015.21875,391716.390625,239752.8515625,164349.765625,152617.796875,67368.89453125,35001.345703125,23078.12890625,17332.541015625,11396.7744140625,4514.6748046875,1940848,1961574,1924132.5,1927436.375,59553.73046875,61551.3671875,166504.765625,218961.4140625,214017.9296875,180108.6484375,103393.55078125,79178.453125,66825.4921875,31450.646484375,19983.87109375,15928.7934570312,10346.9033203125,10764.1557617188,188871.8671875,348356.078125,273927.78125,178689.4453125,141366.9765625,104493.81640625,77286.84375,36971.1484375
"13_Before QC",2019-12-13 09:00:27.76,"2019-12-13","9H 0M 27.76S","Before","Aurora","16888","Flow Core",256,256,1351,2252,1737,1039,1175,1035,1434,1254,1141,1125,1092,866,836,4169,1406,1064,182,182,1527,1527,9753,3049,2685,1643,1778,1486,2649,2211,2645,2875,1058,1467,1948,1068,1894,1373,1844,1771,997,982,2330,1016,-25.425,0,26.375,0.92,1.02,1.21,1981710,2001046.625,192720.1875,451609.796875,536837.09375,540827.0625,507418.953125,362052.296875,388412.796875,238742.4453125,167794.421875,151449.5390625,67318.2734375,35964.78515625,23791.3720703125,18960.607421875,12076.8432617188,4813.89111328125,2061722.5,2097033.9375,1992377.5,1991007.5625,63003.138671875,63111.306640625,169996.0390625,229262.671875,223499.015625,182274.3515625,111454.69140625,80569.7734375,68020.453125,34543.83203125,20709.6640625,16556.7587890625,11254.1938476562,11356.6079101562,190654.59375,354063.515625,278316.84375,180450.1796875,142944.6484375,105872.734375,79836.48828125,37574.994140625
"12_After QC",2019-12-12 08:48:47.45,"2019-12-12","8H 48M 47.45S","After","Aurora","16888","Flow Core",256,256,1351,2252,1737,1039,1175,1035,1434,1254,1141,1125,1092,866,836,4169,1406,1064,182,182,1527,1527,9753,3049,2685,1643,1778,1486,2649,2211,2645,2875,1058,1467,1948,1068,1894,1373,1844,1771,997,982,2330,1016,-25.425,0,26.375,0.92,1.02,1.21,2009970,2020210.375,195524.0078125,462303.4375,540294.8125,545351.75,517691.046875,367953.15625,395050.4375,240484.875,169782.6484375,153322.0703125,68103.19140625,36076.638671875,23902.427734375,18759.3740234375,12071.5380859375,4838.9345703125,2004337,2022073.75,1973111,1969632.5,62676.091796875,62900.578125,170320.0078125,227123.46875,222919.546875,181520.328125,110403.1328125,80905.61328125,68628.23046875,34189.390625,20539.0888671875,16541.193359375,11228.8676757812,11198.5258789062,191737.4296875,358667.0625,284474.3125,183828.234375,144116.9296875,106917.62890625,80602.703125,37802.048828125
"12_Before QC",2019-12-12 08:44:20.19,"2019-12-12","8H 44M 20.19S","Before","Aurora","16888","Flow Core",260,260,1418,2322,1719,1094,1187,1078,1441,1237,1186,1085,1077,840,773,3896,1272,934,176,176,1532,1532,9251,2895,2748,1528,1612,1419,2566,2127,2512,2640,1004,1390,1837,1016,1502,1073,1417,1352,793,774,1857,805,-25.3,0,26.4,0.91,1.02,1.22,2026201.5,2012330.875,198446.71875,453734.03125,532482.59375,575607.84375,510706.28125,379449.640625,387916.03125,237217.3359375,172448.890625,147833.578125,67326.9453125,34065.15625,21968.009765625,16778.8271484375,10820.96484375,4303.29736328125,1911952,1887721.8125,1973114,1975880.4375,60052.55859375,60302.341796875,171440.3828125,209140.171875,203553.8125,176986.3203125,105373.57421875,77943.9140625,65587.3359375,30752.1767578125,19626.5693359375,15906.5068359375,10804.1567382812,10646.0888671875,154828.46875,284176.65625,217303.9140625,145393.1171875,115495.109375,85256.18359375,64748.1171875,29888.16015625
"11_After QC",2019-12-11 09:13:44.4,"2019-12-11","9H 13M 44.4S","After","Aurora","16888","Flow Core",260,260,1418,2322,1719,1094,1187,1078,1441,1237,1186,1085,1077,840,773,3896,1272,934,176,176,1532,1532,9251,2895,2748,1528,1612,1419,2566,2127,2512,2640,1004,1390,1837,1016,1502,1073,1417,1352,793,774,1857,805,-25.3,0,26.5,0.91,1.02,1.22,1998791.5,2003319.1875,191747.2734375,452008.359375,549294.09375,549807.75,515852.59375,371158.328125,395014.875,237541.90625,166123.703125,153420.1171875,67140.7734375,35293.826171875,23708.7421875,18467.7236328125,11880.4311523438,4726.11694335938,1968509.5,1987047.8125,2010872,2022043.125,62760.890625,61529.775390625,170809.8671875,220080.3046875,222356.5859375,186649.421875,109069.765625,79733.41015625,68147.70703125,32903.345703125,20799.427734375,16543.134765625,11349.0034179688,11298.3984375,189689.03125,357342.25,274442.8125,180331.90625,143735.59375,107463.07421875,80835.01953125,37311.86328125
"11_Before QC",2019-12-11 09:07:31.5,"2019-12-11","9H 7M 31.5S","Before","Aurora","16888","Flow Core",269,269,1444,2310,1682,1119,1190,1124,1446,1229,1160,973,840,600,559,933,862,656,171,171,1422,1422,9252,2764,2427,1383,1406,1247,2085,1624,2026,2136,801,1085,1448,810,640,413,581,554,330,312,778,342,-25.3,0,26.4,0.91,1.01,1.23,2081368,2084158.5625,198517.4296875,455520.4375,533086.28125,564896.96875,519441.8125,382105.75,396278.3125,232691.625,162658.796875,136744.3828125,52232.98046875,25828.78125,17121.193359375,4431.68334960938,8145.55200195312,3367.5673828125,1877758,1881376.5,1849412.5,1841803,62799.06640625,58220.384765625,148448.09375,199131.0234375,194028.3515625,160532.15625,89220.0390625,61296.4375,54993.833984375,27490.931640625,16448.2158203125,12762.0205078125,8800.92626953125,8911.7548828125,84199.12890625,143550.6328125,118576.77734375,76617.046875,60514.2265625,43469.7734375,34354.388671875,15931.1606445312
"10_After QC",2019-12-10 10:05:27.66,"2019-12-10","10H 5M 27.66S","After","Aurora","16888","Flow Core",269,269,1444,2310,1682,1119,1190,1124,1446,1229,1160,973,840,600,559,933,862,656,171,171,1422,1422,9252,2764,2427,1383,1406,1247,2085,1624,2026,2136,801,1085,1448,810,640,413,581,554,330,312,778,342,-25.3,0,26.4,0.91,1.01,1.23,2018321,2031734.3125,196385.1796875,444355.046875,534412.9375,550847.40625,518988.921875,371702.671875,392990.421875,236853.2265625,168264.7578125,149461.484375,66640.97265625,35973.544921875,23781.6953125,18664.3359375,11986.4423828125,4823.26782226562,1954294.5,1977552.5625,1939747,1939754.25,62983.544921875,61478.34765625,163426.6171875,221806.3359375,227386.8515625,187545.0859375,107331.44921875,78797.578125,70297.11328125,34628.82421875,20798.9228515625,16491.6484375,11313.5986328125,11194.4624023438,193852.7890625,360994.015625,290966.34375,179509.546875,143730.2109375,107018.09375,82758.8125,37615.75
"10_Before QC",2019-12-10 10:01:11.59,"2019-12-10","10H 1M 11.59S","Before","Aurora","16888","Flow Core",260,260,1371,2243,1715,1044,1178,1057,1388,1224,1066,941,788,550,539,2520,829,654,176,176,1509,1509,9171,2884,2420,1398,1479,1237,2062,1579,1993,2059,795,1067,1440,805,603,397,556,529,319,303,753,332,-25.275,0,26.3,0.91,1.02,1.22,1941950,1962465.5625,186213.578125,427058.703125,554155.3125,518242.75,520078.515625,356829.34375,383610.0625,238146.0625,156748.3203125,143778.75,62826.931640625,33099.224609375,22908.349609375,50718.2109375,11389.1801757812,4622.22241210938,2036150.5,2059399.3125,2095284.5,2110172.25,62573.87890625,65247.587890625,165471.5078125,223384.3515625,235773.9140625,188734.15625,108019.640625,76750.21484375,67598.3203125,33249.73828125,20616.8095703125,16343.6284179688,11267.8046875,11341.1064453125,184858.046875,347075.328125,276584.65625,169899.4921875,139535.234375,104257.33203125,80050.58984375,36686.244140625
"09_After QC",2019-12-09 08:51:27.3,"2019-12-09","8H 51M 27.3S","After","Aurora","16888","Flow Core",260,260,1371,2243,1715,1044,1178,1057,1388,1224,1066,941,788,550,539,2520,829,654,176,176,1509,1509,9171,2884,2420,1398,1479,1237,2062,1579,1993,2059,795,1067,1440,805,603,397,556,529,319,303,753,332,-25.275,0,26.3,0.91,1.02,1.22,1989102,1991983.75,192389.296875,449393.171875,543045.875,547103.25,518291.921875,367410.265625,388965.3125,236613.3671875,166809.9296875,150096.453125,67198.0078125,36373.880859375,23732.6552734375,18714.4609375,12000.2944335938,4829.27978515625,1978247.5,1991229.3125,2034398,2037111.6875,62693.408203125,62562.150390625,168062.2421875,223061.9140625,225307.3359375,189625.8984375,110581.23828125,79006.38671875,68295.14453125,33006.0703125,20742.017578125,16553.4443359375,11272.5161132812,11325.2290039062,194535.9140625,362144.84375,286225.921875,175823.125,143943.9140625,107315.1171875,82184.40625,37804.9609375
"09_Before QC",2019-12-09 08:46:58.41,"2019-12-09","8H 46M 58.41S","Before","Aurora","16888","Flow Core",258,258,1303,2222,1655,1013,1165,1016,1380,1183,1033,927,758,529,531,2400,797,621,182,182,1553,1553,9570,2975,2352,1394,1503,1216,2066,1604,1981,2100,796,1060,1453,814,584,393,557,518,316,300,746,330,-25.35,0,26.275,0.92,1.02,1.22,1968644.5,1992006.4375,184832.3828125,452924.453125,515101.703125,528879.1875,510501.875,355053.984375,393018.53125,233539.203125,165010.25,152120.5078125,65553.39453125,35179.1484375,23737.1875,17952.0478515625,11856.5708007812,4750.81982421875,2052086,2096020.9375,2009880,2018193.4375,65125.09375,65692.03125,168444.6171875,222228.40625,231273.6640625,189129.7421875,110197.12890625,81702.88671875,68227.0625,34646.544921875,20857.837890625,16526.1083984375,11395.9404296875,11378.7543945312,187946.7421875,357975.359375,286224.859375,172513.453125,142646.953125,106510.0234375,81896.27734375,37821.123046875
