"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-H_Gain","SSC-A_Gain","V1-A_Gain","V2-A_Gain","V3-A_Gain","V4-A_Gain","V5-A_Gain","V6-A_Gain","V7-A_Gain","V8-A_Gain","V9-A_Gain","V10-A_Gain","V11-A_Gain","V12-A_Gain","V13-A_Gain","V14-A_Gain","V15-A_Gain","V16-A_Gain","FSC-H_Gain","FSC-A_Gain","SSC-B-H_Gain","SSC-B-A_Gain","B1-A_Gain","B2-A_Gain","B3-A_Gain","B4-A_Gain","B5-A_Gain","B6-A_Gain","B7-A_Gain","B8-A_Gain","B9-A_Gain","B10-A_Gain","B11-A_Gain","B12-A_Gain","B13-A_Gain","B14-A_Gain","R1-A_Gain","R2-A_Gain","R3-A_Gain","R4-A_Gain","R5-A_Gain","R6-A_Gain","R7-A_Gain","R8-A_Gain","Violet_LaserDelay","Blue_LaserDelay","Red_LaserDelay","Violet_AreaScalingFactor","Blue_AreaScalingFactor","Red_AreaScalingFactor","SSC-H","SSC-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","FSC-H","FSC-A","SSC-B-H","SSC-B-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"22 After",2022-12-22 09:51:24.43,"2022-12-22","9H 51M 24.43S","After","Aurora","R0026","Flow Core",281,281,382,394,471,300,418,360,475,771,643,453,400,447,551,724,697,430,590,590,149,149,760,467,472,431,334,244,484,416,658,540,388,507,530,515,257,325,564,665,497,432,930,350,-26.725,0,27.1,1.05,1.23,0.98,1988597.55007375,1985607.04044712,457015.196998679,1086827.4515984,1281979.79350997,1303808.72716272,1251212.79465697,928550.013328958,1021177.90303236,829161.608737047,922380.184750112,1502433.12749261,730725.12942306,428601.931199176,385368.662593374,364770.020115296,321515.771239381,158957.596864482,2024875.58643068,2049864.63154643,2001858.0679941,2022494.0209948,141757.21237406,140242.045853792,256835.08087921,373536.310754677,521121.150881757,637155.979162375,453792.449166934,359132.035635901,352868.109869973,212091.439842062,149800.47981365,149769.382803804,118492.697099433,131633.92667198,418660.806213879,722551.528984193,807112.356366632,725106.588765839,622919.80043351,518757.712578896,521250.101920499,255857.752565367
"22 Before",2022-12-22 09:46:33.28,"2022-12-22","9H 46M 33.28S","Before","Aurora","R0026","Flow Core",286,286,387,398,473,305,425,365,478,780,657,474,403,449,552,730,703,436,577,577,146,146,742,456,460,423,335,243,467,408,649,528,377,497,516,504,229,301,514,596,454,396,766,326,-26.725,0,27,1.04,1.23,0.99,2032300.35773026,2013344.51812207,459032.787302092,1091240.56396752,1273540.47659549,1321318.20666943,1272147.51734636,931809.233583654,1012322.76582058,847621.364498554,977026.31765345,1606895.13028662,728501.763526972,431366.879419413,384180.577746777,365663.581200619,321754.894285905,159728.134621898,1991617.85705742,2047772.79148814,1967465.31646232,1991570.43049435,136810.976850918,138478.94041798,250395.631097747,372587.56728274,541132.258844787,648054.423221238,444011.041736973,356906.885389169,346911.929896565,208895.669551983,146404.93164984,146890.905524115,116092.355441491,129227.237621928,366268.525374462,662084.711298589,739066.93805646,658195.212028251,573813.410827054,483181.021836556,455822.883507538,242565.767824113
"21 After",2022-12-21 09:44:24.05,"2022-12-21","9H 44M 24.05S","After","Aurora","R0026","Flow Core",286,286,387,398,473,305,425,365,478,780,657,474,403,449,552,730,703,436,577,577,146,146,742,456,460,423,335,243,467,408,649,528,377,497,516,504,229,301,514,596,454,396,766,326,-26.725,0,27,1.04,1.23,0.99,1999540.39220328,2001598.17913955,459487.645284919,1090749.11583597,1271083.93759072,1320728.27380587,1272644.41437248,931493.156317908,1009968.16418598,832274.215276116,933833.765418416,1528830.98693837,728188.339677256,435331.216058264,388532.067908364,366687.90062915,322459.470463855,160098.260100653,2026246.1523569,2064775.79288758,2003104.36600379,2011584.11354979,138361.94630195,139957.270333316,253594.475796211,373047.499134625,527842.511038589,632536.021965982,449077.131508272,360908.350917803,353879.313793884,212608.423238371,148284.071918587,148682.317450589,117339.599720303,130837.849224267,410512.685658691,721348.290347749,809400.940516815,723033.672294122,617502.208665432,514891.985598927,519617.898619186,254193.741961686
"21 Before",2022-12-21 09:40:06.71,"2022-12-21","9H 40M 6.71S","Before","Aurora","R0026","Flow Core",280,280,380,392,464,298,416,357,468,765,634,453,399,444,550,727,699,431,596,596,151,151,767,472,480,440,341,249,489,422,668,549,392,517,536,523,261,335,586,688,517,445,1011,359,-26.675,0,27.125,1.06,1.22,0.97,1935630.12798969,1991355.36497991,454786.154251545,1092520.28319654,1269482.44267919,1309199.89804386,1255694.27857733,921877.51353257,1008434.53432996,826236.877484105,914135.594279321,1486124.2260754,730061.020066179,435533.696142619,392426.420530082,369142.321731099,324919.445843854,160677.638800942,2101543.09108247,2103706.02018162,2087411.46938144,2072239.74411664,141820.041808047,142193.413814201,261902.034948347,385202.948322395,530574.459513659,647401.211819678,460941.081277278,369211.818382109,366987.312931106,219332.877728731,153695.088788019,154273.182148638,120942.209678108,134878.252967468,463017.984089429,806995.579855381,924597.682357273,832035.861750392,703545.968339041,579122.791606643,690117.020194912,276857.148423005
"20 After",2022-12-20 11:40:25.41,"2022-12-20","11H 40M 25.41S","After","Aurora","R0026","Flow Core",280,280,380,392,464,298,416,357,468,765,634,453,399,444,550,727,699,431,596,596,151,151,767,472,480,440,341,249,489,422,668,549,392,517,536,523,261,335,586,688,517,445,1011,359,-26.675,0,27.125,1.06,1.22,0.97,1992041.91808956,1997170.86410153,453464.703069555,1092437.6382336,1269403.10699264,1309593.02156762,1257954.96514933,922831.65773584,1010608.25218036,825585.841307343,920114.597418109,1494105.12881927,720087.876198584,428416.808341003,384706.75285597,364598.609029454,321312.887384061,159086.379209742,2022612.52939755,2056725.81965275,2003782.71270941,2012903.02589055,138052.793076951,138430.134598847,253948.631606564,372824.884006017,516268.090010987,629390.151182401,442174.136269363,354480.945103494,351711.949622851,210469.137913846,148041.634225988,148534.398674956,116822.23728455,130070.106071817,420523.784286736,732523.035558037,824376.683579322,732459.490105236,623089.039713104,517552.514345867,520818.916698855,255118.247650348
"20 Before",2022-12-20 11:33:24.22,"2022-12-20","11H 33M 24.22S","Before","Aurora","R0026","Flow Core",294,294,398,408,487,311,435,373,496,804,676,484,411,459,560,744,718,445,573,573,146,146,733,461,462,419,334,244,470,405,635,526,377,495,516,502,225,294,500,592,445,389,727,321,-26.8,0,26.975,1.03,1.24,1,2083509.57425972,2022902.26000207,462406.39297,1098980.6159528,1283190.43183769,1325131.04401252,1267991.39558209,937917.322345946,1037145.4399435,848965.592507942,985946.067832814,1617448.44541816,732301.882880217,428377.991028887,380026.164597106,364846.050296939,320543.500629032,160535.860505701,1940787.9605182,2008005.00915324,1928279.3331277,1975815.30888947,136297.638677297,138072.750002751,248908.049873003,364782.478621907,532710.380504237,651077.906549302,438251.309406371,347303.108245899,335518.678424608,202264.294465465,144689.321565561,144320.233496451,115134.050934752,128418.014485747,348606.298375435,622802.480022394,701371.5252704,636019.971362199,547130.473659446,463366.427627528,410693.522743221,236285.339721934
"19 Before",2022-12-19 09:33:11.86,"2022-12-19","9H 33M 11.86S","Before","Aurora","R0026","Flow Core",284,284,387,398,479,306,428,366,484,784,655,469,399,446,551,733,700,437,588,588,149,149,754,466,465,431,339,247,479,414,655,539,383,503,525,512,241,312,535,618,473,410,815,336,-26.7,0,27.025,1.05,1.22,0.98,1864241.7188745,1917534.13132461,443272.299809704,1051898.85465222,1238426.30489708,1265707.57590087,1219346.11394269,892858.471273928,980121.59579935,797888.710169803,896800.878038621,1443687.16671311,692808.236403114,414197.883292745,373518.340847227,355794.32269354,309697.451139221,154883.015135838,2071643.22285857,2079718.43722376,2012906.52415339,1997600.24599355,135325.349576411,135763.986684995,244465.148563466,364727.764422167,516188.925948986,622812.373084413,441863.316444025,355519.399091003,350790.080760557,210183.924635055,146193.007542954,146432.874847402,115865.132411763,129153.298432698,423738.995049806,738297.727648739,831906.878879262,745501.952471247,637974.187570268,529037.852810648,574300.663575527,257444.910321219
"16 After",2022-12-16 11:44:55.42,"2022-12-16","11H 44M 55.42S","After","Aurora","R0026","Flow Core",284,284,387,398,479,306,428,366,484,784,655,469,399,446,551,733,700,437,588,588,149,149,754,466,465,431,339,247,479,414,655,539,383,503,525,512,241,312,535,618,473,410,815,336,-26.7,0,27.025,1.05,1.22,0.98,1971015.38981784,1978405.95721108,455316.809675903,1082378.76936322,1270751.62548897,1303374.18967962,1256545.26541625,920721.617405521,1014254.68006034,823713.182740893,926224.078497382,1496566.91914784,713530.928840047,424307.031246084,382332.482346327,364043.745768013,317963.46946186,158213.265715904,2019225.38295269,2052081.55249382,1983975.85141381,1995542.25946356,137229.339859998,138215.38540758,247992.893092117,368371.377918549,521550.097626924,629820.446232224,443524.678504878,356222.228257394,352246.666407979,210664.969540864,146868.202222385,147037.626918275,116537.594269443,129303.580353491,411638.168555507,713444.837069866,804029.847771845,719531.571382559,615742.729959998,511324.543835682,515639.72344889,252082.556451853
"16 Before",2022-12-16 11:40:07.86,"2022-12-16","11H 40M 7.86S","Before","Aurora","R0026","Flow Core",278,278,382,389,464,299,417,357,469,768,634,452,397,443,550,719,697,430,594,594,150,150,746,468,466,428,337,246,485,420,671,545,388,509,531,518,263,337,587,697,522,449,1068,360,-26.625,0,27.125,1.06,1.22,0.97,1916978.96667971,1949594.14562642,452660.932204501,1061136.20562668,1242972.18616283,1282419.48854193,1230130.88049729,902975.106836089,990714.563612796,817365.644678178,917404.320523249,1496794.78060466,718322.161288022,426590.077645677,384160.099936247,359834.057920069,320286.899993906,157451.497754588,2045022.10941575,2071969.26169353,2007370.02614763,2008815.41784845,136912.659358733,139572.536193763,250952.399357575,369698.364209233,522414.649521843,639266.382678134,450115.156443097,361568.841896591,358842.135554948,210091.694973566,148894.982486072,148933.179041885,117280.847330455,131099.901153583,430432.657900966,762800.734622624,880019.079981542,790574.159055391,683643.849743703,562902.092341225,691789.658025079,269485.532941787
"14 After",2022-12-14 09:58:07.54,"2022-12-14","9H 58M 7.54S","After","Aurora","R0026","Flow Core",278,278,382,389,464,299,417,357,469,768,634,452,397,443,550,719,697,430,594,594,150,150,746,468,466,428,337,246,485,420,671,545,388,509,531,518,263,337,587,697,522,449,1068,360,-26.625,0,27.125,1.06,1.22,0.97,1983515.95809659,1982212.59208039,456883.331483498,1074900.13779778,1264412.86567917,1303319.92817398,1253604.31776784,918101.876713348,1007354.75245387,823113.609730012,920291.756512173,1494422.64166191,718723.57371416,426093.745700989,384036.739667523,360713.451476777,320916.043706703,158198.236121827,2024117.77109375,2063390.98490323,1989719.19950284,2000016.26255829,137736.125557618,140646.414774265,251223.103248699,367631.203657186,517270.346220736,630653.216605516,446260.036369293,357940.868642487,354919.665718565,208727.006607348,147444.455309495,147437.850995406,116532.151191838,129944.517260163,415072.71276572,718981.76661719,813897.585895041,721240.9717602,623088.364612254,516250.747930837,522739.517319682,254251.298286874
