"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-H_Gain","SSC-A_Gain","V1-A_Gain","V2-A_Gain","V3-A_Gain","V4-A_Gain","V5-A_Gain","V6-A_Gain","V7-A_Gain","V8-A_Gain","V9-A_Gain","V10-A_Gain","V11-A_Gain","V12-A_Gain","V13-A_Gain","V14-A_Gain","V15-A_Gain","V16-A_Gain","FSC-H_Gain","FSC-A_Gain","SSC-B-H_Gain","SSC-B-A_Gain","B1-A_Gain","B2-A_Gain","B3-A_Gain","B4-A_Gain","B5-A_Gain","B6-A_Gain","B7-A_Gain","B8-A_Gain","B9-A_Gain","B10-A_Gain","B11-A_Gain","B12-A_Gain","B13-A_Gain","B14-A_Gain","R1-A_Gain","R2-A_Gain","R3-A_Gain","R4-A_Gain","R5-A_Gain","R6-A_Gain","R7-A_Gain","R8-A_Gain","Violet_LaserDelay","Blue_LaserDelay","Red_LaserDelay","Violet_AreaScalingFactor","Blue_AreaScalingFactor","Red_AreaScalingFactor","SSC-H","SSC-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","FSC-H","FSC-A","SSC-B-H","SSC-B-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"14 Before",2022-12-14 09:52:46.01,"2022-12-14","9H 52M 46.01S","Before","Aurora","R0026","Flow Core",279,279,380,389,469,299,416,356,468,768,629,450,394,442,543,720,702,442,604,604,153,153,775,477,474,440,341,250,499,423,670,549,396,523,543,538,265,340,600,722,547,475,1237,387,-26.725,0,27.225,1.07,1.21,0.96,1989662.10358073,2009491.40611871,459274.41415927,1091540.82822274,1300459.71471742,1322362.96104503,1271242.41298724,931352.835837127,1021104.14757918,848931.436446884,960294.279141619,1573958.86164424,726819.602823094,432994.219830718,384931.114781528,371266.047845143,329938.493137324,166687.308586455,2071341.90826823,2089915.01583811,2049142.00364583,2042762.188711,142671.835084758,142314.684008436,254005.7896855,381502.703806277,541420.995224816,659208.661704016,462998.743953841,365345.948192668,355539.360965813,212755.423077024,151672.562995476,151800.146113337,120100.352394009,136899.412820432,395344.609998004,704699.80000347,801377.885638162,732210.86937562,641511.583712016,540081.842746514,585378.562803042,270353.690545656
"14 After",2022-12-13 15:32:16.96,"2022-12-13","15H 32M 16.96S","After","Aurora","R0026","Flow Core",279,279,380,389,469,299,416,356,468,768,629,450,394,442,543,720,702,442,604,604,153,153,775,477,474,440,341,250,499,423,670,549,396,523,543,538,265,340,600,722,547,475,1237,387,-26.725,0,27.225,1.07,1.21,0.96,1994209.12953894,2001942.8369978,454893.865285665,1083433.81883201,1290486.47383468,1314129.30518504,1264368.53642554,927409.502127409,1017732.47319559,835489.541936756,916954.930648711,1491516.53990828,721595.370871956,436750.990640141,386533.129436287,367429.25420419,324139.586095232,159475.194739219,2027673.22109412,2058028.44555746,2002994.68902293,2008094.29040526,140119.780376207,140036.551825193,251012.503694447,373127.690268059,515856.29757204,627419.211456609,453426.085071287,360281.385316022,353337.179241148,211058.756351668,148959.733648695,148121.731153764,116720.4209128,130243.540285657,416839.177460009,731688.761274444,827613.754120778,737755.663262587,626992.420938995,520492.057066108,520625.023082181,255756.38165996
"13 Before",2022-12-13 15:27:58.17,"2022-12-13","15H 27M 58.17S","Before","Aurora","R0026","Flow Core",283,283,388,397,477,307,426,365,479,789,667,480,401,443,552,734,706,441,595,595,150,150,750,461,468,431,346,254,484,418,656,540,388,512,532,521,234,313,539,646,498,440,1000,357,-26.725,0,27.15,1.06,1.22,0.97,1969434.54966887,1961242.69040286,444069.590135242,1058966.8862713,1246844.09655046,1291194.45927347,1234801.15987303,903882.338307203,982915.091989974,820051.264737661,962138.628201576,1571299.41827447,708862.597061938,415155.65470258,374459.806662589,353159.246534459,308703.089413202,151763.321112043,1917652.57119205,1960593.14925444,1885793.2602348,1904360.33147574,130760.901914664,130324.498754743,239378.081406487,352669.712318319,519962.492536922,630521.132497023,425304.312900269,342919.16641118,332956.337349338,199349.079320223,140323.146821403,140158.041487331,110517.982787616,121348.585401375,343452.270554619,627248.659903973,705066.175017864,633203.528505299,551863.328636126,465971.157680872,434481.697915479,229836.078703721
"12 After",2022-12-12 10:01:30.42,"2022-12-12","10H 1M 30.42S","After","Aurora","R0026","Flow Core",283,283,388,397,477,307,426,365,479,789,667,480,401,443,552,734,706,441,595,595,150,150,750,461,468,431,346,254,484,418,656,540,388,512,532,521,234,313,539,646,498,440,1000,357,-26.725,0,27.15,1.06,1.22,0.97,1969114.9394849,1980357.59002362,452907.742017764,1080214.55373933,1271204.05647088,1317206.17971583,1258648.84809425,920325.605173926,1001879.19363976,818469.969942302,923023.33568934,1497249.66629537,718823.315284389,423650.623548438,382674.228524651,360713.113562841,316531.76654261,157635.905802946,2011185.75590627,2034710.28877241,1978403.60999225,1998069.27154819,137736.38797716,137388.635810486,251960.849172258,366657.987679548,523574.894994781,635371.049362116,450227.136691117,360033.46619695,352041.038651772,210579.976776988,148117.134029353,148362.365221065,116973.243565623,129997.862239773,408635.120187835,706666.216292676,798988.118509614,718330.68705985,613310.901992248,514370.857022254,518313.116827368,253260.202655249
"12 Before",2022-12-12 09:57:57.43,"2022-12-12","9H 57M 57.43S","Before","Aurora","R0026","Flow Core",280,280,384,393,475,302,422,363,476,771,637,454,398,448,551,727,696,432,587,587,148,148,737,454,456,421,326,239,474,413,652,528,379,499,521,507,251,318,551,644,483,419,871,342,-26.725,0,27.1,1.05,1.22,0.98,1951580.96237458,1946128.60285007,446995.376537294,1063558.71807695,1266108.41136127,1283102.4899743,1236442.11974057,915486.578286007,997338.266218847,799864.820819464,872973.256859058,1411560.06813705,708173.24079825,429449.032172153,379449.082705093,356666.774013932,311476.085635775,155679.524405926,1990327.46697324,2029599.20567582,1955956.85409699,1976403.87557805,135853.67960078,136279.81480173,246368.860575638,364016.729965872,492124.723318586,603358.492594226,446825.236862565,357635.705963666,347067.36626856,208204.990265444,145732.619200093,145092.665449093,115277.410637397,128540.624211051,444195.589407637,735424.820461952,827082.329985198,732512.472864509,604938.764541009,498961.097814998,477812.699360788,248721.47445665
"09 After",2022-12-09 11:54:19.16,"2022-12-09","11H 54M 19.16S","After","Aurora","R0026","Flow Core",280,280,384,393,475,302,422,363,476,771,637,454,398,448,551,727,696,432,587,587,148,148,737,454,456,421,326,239,474,413,652,528,379,499,521,507,251,318,551,644,483,419,871,342,-26.725,0,27.1,1.05,1.22,0.98,1984862.23153105,1987175.35997641,456924.744784042,1082736.96061546,1293092.52139213,1311510.27325213,1261375.44152002,935929.077770519,1015945.38405604,826089.131355071,920804.968748951,1498334.45016828,722955.880375681,435964.060015462,386774.713872049,366916.614717642,320856.555237605,159699.734582722,2033621.45244468,2060710.56193748,2000208.76829051,2011220.34140348,139430.881585921,139425.18104132,252338.235373893,375262.409377481,518676.045258356,635031.104270388,454178.992260885,363651.663198999,351330.637984422,211454.630953954,149052.503298033,148823.995433043,118377.698863966,131646.618591489,419468.604819005,720898.662464472,819612.214873822,736122.060700582,623510.282560898,518036.356239798,527613.417167115,257326.57711891
"09 Before",2022-12-09 11:49:43.19,"2022-12-09","11H 49M 43.19S","Before","Aurora","R0026","Flow Core",292,292,398,413,494,315,441,374,495,787,659,465,406,444,554,757,745,485,590,590,149,149,748,463,461,418,330,241,469,403,647,526,384,514,544,548,238,300,504,603,475,426,867,369,-26.8,0,27.075,1.04,1.22,0.98,2048651.66672241,2037726.70962948,469950.827568912,1129997.1854666,1318403.46897559,1357526.66942971,1317140.12898191,950446.334740711,1049686.6522232,848356.397943065,981789.324736679,1595166.15660278,741315.422831299,425285.534517795,385246.987767883,381743.212607952,341814.819429341,176873.244791413,2057379.60334448,2081362.91513639,2028245.86546823,2037748.99339968,141839.811843996,143034.597191578,256031.628332293,375437.771481305,541500.224162324,662537.905866036,451083.543286562,356753.045266972,351652.030669145,208008.068822409,151697.631694347,154813.127066689,124315.60963033,143631.054932049,382042.00372866,659661.556344046,741785.643304171,685465.380375406,614759.119915691,529447.485404981,537536.766368803,278711.356345922
"08 After",2022-12-08 09:59:20.83,"2022-12-08","9H 59M 20.83S","After","Aurora","R0026","Flow Core",292,292,398,413,494,315,441,374,495,787,659,465,406,444,554,757,745,485,590,590,149,149,748,463,461,418,330,241,469,403,647,526,384,514,544,548,238,300,504,603,475,426,867,369,-26.8,0,27.075,1.04,1.22,0.98,1988779.90503972,1979034.37419944,451316.465121606,1088159.58369143,1266876.80545208,1308667.77439436,1270536.44881427,916903.02729671,1016764.80062675,806653.735704395,910471.255349932,1469325.45360057,718453.344330462,418271.95094409,378019.228069845,369385.90366303,328857.038635169,166498.218466063,2007916.74428997,2043345.80292833,1975172.19078947,1990523.2946654,137394.277445679,138697.783149081,248878.627189071,360673.946627722,506669.978919318,620350.775595595,437290.173030319,347429.593971178,345597.552758683,203756.074782659,147427.360771214,149734.023428311,119661.129390851,136183.926595608,403689.999923077,681812.48835625,765264.934934396,698775.73721963,610506.168307052,517741.881420483,513693.453687923,265988.473308738
"05 After",2022-12-05 10:58:39.97,"2022-12-05","10H 58M 39.97S","After","Aurora","R0026","Flow Core",283,283,392,399,481,306,426,368,487,781,660,468,410,455,563,741,709,442,600,600,152,152,757,471,473,437,341,249,493,428,671,546,392,514,535,523,264,339,591,707,531,457,1095,366,-26.725,0,27.25,1.06,1.21,0.97,1987032.90471972,1988618.18103777,457423.903640329,1076379.99399877,1268043.8597837,1300627.81610495,1254787.01074952,929110.296009489,1012923.06504517,818161.552114573,908652.699734398,1461598.80386073,721316.473295234,424271.809279797,386170.684365417,362110.495675512,318580.040393678,158976.799625855,2020928.19321843,2057124.15442996,1993749.84028673,2007811.50614694,136633.028263295,139863.955448804,253090.678769724,366775.921392593,508583.589835664,619191.42993904,448817.017540619,364252.617385873,352597.204918617,211212.901577624,148600.906728841,148049.98694292,117432.40862163,130380.893203754,435295.892472377,743637.677126607,829197.837663376,746194.523667159,629047.789468129,520829.67440558,525050.372910437,256892.97560441
"05 Before",2022-12-05 10:48:15.78,"2022-12-05","10H 48M 15.78S","Before","Aurora","R0026","Flow Core",284,284,410,412,491,307,425,360,475,802,691,498,408,378,408,638,675,480,586,586,149,149,662,391,412,421,345,257,486,403,542,401,325,462,495,532,226,266,332,342,327,317,684,295,-26.75,0,27,1.05,1.22,0.98,1989978.82798811,1974328.25117812,473646.966430286,1100132.93783426,1300237.71160329,1309157.98057324,1248176.46595507,902068.66055166,993630.018412639,845720.066588931,1003826.11045873,1631888.83861604,725224.594602482,350793.80807032,278012.109936964,315719.908546044,302376.870132416,171387.923506312,1987690.84386733,2035112.24641428,1964388.30897998,1991957.69290842,122117.869827516,116923.71445675,221917.173229445,367849.099995372,544904.288080365,675396.362424728,451809.906201253,347432.371286009,289692.748363725,156632.067948351,124647.322207672,133781.448272236,110806.818334753,135842.53661212,354474.785761543,567833.295846539,470959.198980561,374156.01805358,403484.797143527,369908.235879197,365827.630661841,211250.684037466
"29 After new red laser",2022-11-29 12:38:17.81,"2022-11-29","12H 38M 17.81S","After","Aurora","R0026","Flow Core",284,284,410,412,491,307,425,360,475,802,691,498,408,378,408,638,675,480,586,586,149,149,662,391,412,421,345,257,486,403,542,401,325,462,495,532,226,266,332,342,327,317,684,295,-26.75,0,27,1.05,1.22,0.98,1956419.04163775,1939864.49090839,465224.143170349,1081349.11289276,1274726.16399956,1281252.18912182,1223443.92930771,883263.847306704,974438.143857113,823030.563354823,965938.055230679,1565936.42796396,710484.278682824,346718.598058038,273990.034822468,308884.437549152,295362.29117409,166623.944017732,1975699.15379944,2028234.53214388,1940463.0545628,1974243.27153116,123410.818948949,118111.840838931,221564.984997073,364946.697952783,534469.78635363,664559.258453042,449693.76941287,346676.280646251,290630.066919922,157151.944162627,124418.629639181,133437.844810841,110265.829041742,134359.373802585,369946.66755279,592111.440865516,494608.859769161,391124.705771692,420017.322103427,382151.327375656,398514.34279827,215665.353671537
"21 After",2022-11-21 12:26:17.28,"2022-11-21","12H 26M 17.28S","After","Aurora","R0026","Flow Core",274,274,411,419,502,314,427,365,485,817,672,496,426,411,423,692,690,477,584,584,140,140,674,391,411,405,335,242,460,405,544,399,309,436,492,512,247,288,359,357,328,320,685,294,-26.7,0,27.075,1.06,1.21,1.02,1982485.72273233,1992842.12814563,483350.788670148,1133843.57900803,1316411.19122531,1346110.23438097,1272621.73754219,934414.505067926,1012767.33764069,837961.481437877,959582.608342878,1593652.05411445,746592.103805227,379489.196728573,296254.032631692,327081.337846693,312491.854707372,174485.369661377,2026410.39593767,2062508.13612558,1996260.05084864,2009923.01051275,131371.447902484,125636.55626523,233733.990636153,369265.447010374,535536.822359634,661687.54186007,464945.003951133,354635.02499897,299528.230193991,164204.345462925,126334.521014948,137116.114205383,112251.341784741,137218.481016608,408835.190210859,644017.584584122,538554.367294402,409744.258555878,425508.828865822,392910.521879412,411829.606753213,220150.962572535
"21 Before",2022-11-21 12:18:58.96,"2022-11-21","12H 18M 58.96S","Before","Aurora","R0026","Flow Core",268,268,393,400,487,303,415,349,465,795,668,493,416,396,409,674,672,464,579,579,138,138,663,383,401,400,337,243,452,395,531,389,304,427,486,505,227,274,338,339,318,314,659,290,-26.825,0,27.075,1.06,1.21,1.02,1944189.34504577,1954790.99552484,462031.597692642,1081402.49127524,1282570.79333625,1293504.53850228,1242797.77488214,903911.016258511,972992.907649337,817271.706780114,997345.543533735,1665034.04953243,743097.554636578,369412.216720674,285633.364218806,320219.617718178,306693.383036223,171613.296302388,2012714.91707054,2045375.30806971,1973242.41404146,1983006.37734362,129046.670541553,124161.173262818,227617.929682172,368387.243904531,551318.681495702,682195.018224214,453745.719592049,347036.696263091,294223.475902631,161734.229046893,124636.68633344,134621.536169937,111136.293765076,136041.496530089,358565.510658376,591453.959904624,488662.220208788,378051.386115784,407137.089803693,381193.771467262,395435.702700723,215602.753096449
"18 After",2022-11-18 10:00:31.76,"2022-11-18","10H 0M 31.76S","After","Aurora","R0026","Flow Core",268,268,393,400,487,303,415,349,465,795,668,493,416,396,409,674,672,464,579,579,138,138,663,383,401,400,337,243,452,395,531,389,304,427,486,505,227,274,338,339,318,314,659,290,-26.825,0,27.075,1.06,1.21,1.02,1985415.524942,1997019.72610677,476210.393611716,1117198.73713074,1321218.49344144,1332418.88444144,1279224.10175902,931992.344305109,1003122.60460212,828900.863127906,976650.17123643,1614355.44499961,765260.919678715,385133.796899449,297640.520988063,330772.902887585,315286.489989406,175354.498891844,2014186.74057425,2044256.48143172,1984505.30742459,1992693.91228719,131394.574606164,126618.837384181,232392.140942848,370401.578826751,536677.754940074,663278.595247527,462037.112854768,352567.424720251,302082.891344746,165753.070854165,126991.222285643,136833.981335044,112799.36934334,137174.213196144,400117.36475569,632878.95117333,526326.04349231,401839.280697429,422658.592308282,390808.342041175,408328.085021321,218425.833853009
"18 Before",2022-11-18 09:54:58.49,"2022-11-18","9H 54M 58.49S","Before","Aurora","R0026","Flow Core",269,269,401,410,495,307,419,356,475,802,657,479,416,406,415,677,678,469,586,586,140,140,671,385,403,398,328,236,458,397,542,395,306,430,487,507,248,289,359,358,326,321,675,294,-26.825,0,27.075,1.06,1.21,1.02,1979265.27455107,1996887.47922228,485725.345949201,1142172.99981208,1335379.95541181,1356102.2193888,1291606.22617737,938765.995981657,1026144.60948749,842395.620327535,956324.210160052,1564668.60752952,762051.868601289,388174.286496848,300613.910454934,331944.154753253,316086.401717876,176022.502355283,2040115.79517396,2067978.47799172,2013111.18181818,2017678.35727261,132448.120164912,125347.376234021,230875.689130046,363625.604810239,522662.236054012,642086.082668336,466796.741278727,355539.481391867,305555.030627567,167082.410554221,126998.828889982,137347.57241671,111994.956453321,136209.779806483,434665.889423133,665841.459021951,558476.563705222,422002.062243508,431980.103592645,397923.318986067,420040.903311258,219877.789407056
